"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
5529,63.1,63.1,36.9,"Oulens-sous-Echallens VD","Oulens-sous-Echallens (VD)","Oulens-sous-Echallens VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Oulens-sous-Echallens avec 63,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 51,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Oulens-sous-Echallens passe cette fois-ci du côté du oui."
5530,51.9,51.9,48.1,"Pailly VD","Pailly (VD)","Pailly VD","A Pailly, les habitants disent oui à 51,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 86,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Pailly passe cette fois-ci du côté du oui."
5531,84.6,84.6,15.4,"Penthéréaz VD","Penthéréaz (VD)","Penthéréaz VD","C'est oui à 84,6 pour cent à la réforme de l'AVS à Penthéréaz. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 76,3 pour cent de non. Les citoyens de Penthéréaz avaient déjà refusé la précédente révision de l'AVS en 2017."
5533,66.4,66.4,33.6,"Poliez-Pittet VD","Poliez-Pittet (VD)","Poliez-Pittet VD","A Poliez-Pittet, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 66,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 71 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Poliez-Pittet passe cette fois-ci du côté du oui."
5534,31.4,31.4,68.6,"Rueyres VD","Rueyres (VD)","Rueyres VD","C'est non à 68,6 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Rueyres. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 84,1 pour cent des suffrages. Les citoyens de Rueyres avaient déjà refusé la précédente révision de l'AVS en 2017."
5535,35.9,35.9,64.1,"Saint-Barthélemy VD","Saint-Barthélemy (VD)","Saint-Barthélemy VD","A Saint-Barthélemy (VD), les habitants disent non à 64,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 60,3 pour cent des suffrages. Les citoyens de Saint-Barthélemy (VD) avaient déjà refusé la précédente révision de l'AVS en 2017."
5537,22.9,22.9,77.1,"Villars-le-Terroir VD","Villars-le-Terroir (VD)","Villars-le-Terroir VD","Les habitants de Villars-le-Terroir s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 77,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 56,3 pour cent de non. Les citoyens de Villars-le-Terroir avaient déjà refusé la précédente révision de l'AVS en 2017."
5539,22.4,22.4,77.6,"Vuarrens VD","Vuarrens (VD)","Vuarrens VD","Les habitants de Vuarrens s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 77,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 88,8 pour cent des suffrages. Les citoyens de Vuarrens avaient déjà refusé la précédente révision de l'AVS en 2017."
5540,14.4,14.4,85.6,"Montilliez VD","Montilliez (VD)","Montilliez VD","C'est non à 85,6 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Montilliez. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 95,4 pour cent des suffrages. Les citoyens de Montilliez avaient déjà refusé la précédente révision de l'AVS en 2017."
5541,24,24,76,"Goumoëns VD","Goumoëns (VD)","Goumoëns VD","A Goumoëns, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 76 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51,4 pour cent de non. Les citoyens de Goumoëns avaient déjà refusé la précédente révision de l'AVS en 2017."
5551,82.8,82.8,17.2,"Bonvillars VD","Bonvillars (VD)","Bonvillars VD","C'est oui à 82,8 pour cent à la réforme de l'AVS à Bonvillars. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 95,4 pour cent de non. Les citoyens de Bonvillars avaient déjà refusé la précédente révision de l'AVS en 2017."
5552,69.1,69.1,30.9,"Bullet VD","Bullet (VD)","Bullet VD","Les électeurs de Bullet valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 69,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 71,2 pour cent de non. Les citoyens de Bullet avaient déjà refusé la précédente révision de l'AVS en 2017."
5553,62.2,62.2,37.8,"Champagne VD","Champagne (VD)","Champagne VD","A Champagne, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 62,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 71,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Champagne passe cette fois-ci du côté du oui."
5554,56.5,56.5,43.5,"Concise VD","Concise (VD)","Concise VD","Les électeurs de Concise valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 56,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 64,7 pour cent de non. Les citoyens de Concise avaient déjà refusé la précédente révision de l'AVS en 2017."
5555,16.9,16.9,83.1,"Corcelles-près-Concise VD","Corcelles-près-Concise (VD)","Corcelles-près-Concise VD","C'est non à 83,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Corcelles-près-Concise. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 70 pour cent des suffrages. Les citoyens de Corcelles-près-Concise avaient déjà refusé la précédente révision de l'AVS en 2017."
5556,67,67,33,"Fiez VD","Fiez (VD)","Fiez VD","Les électeurs de Fiez valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 67 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 69,7 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Fiez passe cette fois-ci du côté du oui."
5557,78.3,78.3,21.7,"Fontaines-sur-Grandson VD","Fontaines-sur-Grandson (VD)","Fontaines-sur-Grandson VD","Les habitants de Fontaines-sur-Grandson approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 78,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 52,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Fontaines-sur-Grandson passe cette fois-ci du côté du oui."
5559,79.7,79.7,20.3,"Giez VD","Giez (VD)","Giez VD","C'est oui à 79,7 pour cent à la réforme de l'AVS à Giez. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 87,7 pour cent des voix. Les électeurs de Giez avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
5560,50.3,50.3,49.7,"Grandevent VD","Grandevent (VD)","Grandevent VD","Les habitants de Grandevent approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 74,6 pour cent des voix. Les électeurs de Grandevent avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
5561,96,96,4,"Grandson VD","Grandson (VD)","Grandson VD","Les habitants de Grandson acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 96 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 64,4 pour cent de non. Les citoyens de Grandson avaient déjà refusé la précédente révision de l'AVS en 2017."
5562,0.8,0.8,99.2,"Mauborget VD","Mauborget (VD)","Mauborget VD","Les habitants de Mauborget s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 99,2 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,1 pour cent des suffrages. Les citoyens de Mauborget avaient déjà refusé la précédente révision de l'AVS en 2017."
5563,35.4,35.4,64.6,"Mutrux VD","Mutrux (VD)","Mutrux VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Mutrux avec 64,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 59,1 pour cent de non. Les citoyens de Mutrux avaient déjà refusé la précédente révision de l'AVS en 2017."
5564,27.3,27.3,72.7,"Novalles VD","Novalles (VD)","Novalles VD","A Novalles, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 72,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 62,1 pour cent des suffrages. Les citoyens de Novalles avaient déjà refusé la précédente révision de l'AVS en 2017."
5565,95.6,95.6,4.4,"Onnens VD","Onnens (VD)","Onnens VD","A Onnens (VD), les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 95,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 54,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Onnens (VD) passe cette fois-ci du côté du oui."
5566,69.9,69.9,30.1,"Provence VD","Provence (VD)","Provence VD","Les habitants de Provence acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 68,1 pour cent de non. Les citoyens de Provence avaient déjà refusé la précédente révision de l'AVS en 2017."
5568,77.9,77.9,22.1,"Sainte-Croix VD","Sainte-Croix (VD)","Sainte-Croix VD","Les habitants de Sainte-Croix acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 77,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 84,1 pour cent de non. Les citoyens de Sainte-Croix avaient déjà refusé la précédente révision de l'AVS en 2017."
5571,3.9,3.9,96.1,"Tévenon VD","Tévenon (VD)","Tévenon VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Tévenon avec 96,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51,1 pour cent de non. Les citoyens de Tévenon avaient déjà refusé la précédente révision de l'AVS en 2017."
5581,67.9,67.9,32.1,"Belmont-sur-Lausanne VD","Belmont-sur-Lausanne (VD)","Belmont-sur-Lausanne VD","Les électeurs de Belmont-sur-Lausanne valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 67,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 62,5 pour cent des voix. Les électeurs de Belmont-sur-Lausanne avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
5582,67.6,67.6,32.4,"Cheseaux-sur-Lausanne VD","Cheseaux-sur-Lausanne (VD)","Cheseaux-sur-Lausanne VD","C'est oui à 67,6 pour cent à la réforme de l'AVS à Cheseaux-sur-Lausanne. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 80,9 pour cent de non. Les citoyens de Cheseaux-sur-Lausanne avaient déjà refusé la précédente révision de l'AVS en 2017."
5583,97.6,97.6,2.4,"Crissier VD","Crissier (VD)","Crissier VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Crissier avec 97,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 66 pour cent de non. Les citoyens de Crissier avaient déjà refusé la précédente révision de l'AVS en 2017."
5584,55.7,55.7,44.3,"Epalinges VD","Epalinges (VD)","Epalinges VD","Les électeurs d'Epalinges valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 55,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 52,1 pour cent de non. Epalinges avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
